type,published,title,link,cve
avis,"Tue, 16 Dec 2025 00:00:00 +0000",Vulnérabilité dans Trend Micro Apex One (16 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1115/,CVE-2025-49844
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Google Chrome (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1116/,CVE-2025-14765
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Google Chrome (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1116/,CVE-2025-14766
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans les produits Synology (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1119/,CVE-2025-14713
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans les produits Synology (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1119/,CVE-2025-66592
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans les produits Synology (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1119/,CVE-2025-66593
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Vulnérabilité dans Mozilla Firefox (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1118/,CVE-2025-14744
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans GLPI (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1117/,CVE-2025-59935
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans GLPI (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1117/,CVE-2025-64520
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Vulnérabilité dans Sonicwall Secure Mobile Access (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1121/,CVE-2025-23006
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Vulnérabilité dans Sonicwall Secure Mobile Access (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1121/,CVE-2025-40602
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Vulnérabilité dans les produits Cisco (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1120/,CVE-2025-20393
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Mattermost Server (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1122/,CVE-2025-12689
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Mattermost Server (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1122/,CVE-2025-14273
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans PHP (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1126/,CVE-2025-14177
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans PHP (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1126/,CVE-2025-14178
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans PHP (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1126/,CVE-2025-14180
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans PHP (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1126/,CVE-2025-67899
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2022-48701
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2022-50356
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2022-50367
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2022-50386
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2022-50403
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2022-50406
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2022-50408
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2022-50410
